n,bridges,LessThanMaximumTotal
28,19,11231
28,18,21712
28,17,41348
28,16,73164
28,15,124546
28,14,189339
28,13,266489
28,12,329564
28,11,346088
28,10,271474
28,9,139089
29,20,12039
29,19,23836
29,18,45594
29,17,83926
29,16,146073
29,15,236133
29,14,350057
29,13,469849
29,12,555810
29,11,532050
29,10,360894
29,9,152627
30,21,12909
30,20,25541
30,19,50117
30,18,92913
30,17,168843
30,16,280349
30,15,439394
30,14,621359
30,13,798513
30,12,876756
30,11,751023
30,10,432710
30,9,158370
31,22,13717
31,21,27665
31,20,54363
31,19,103713
31,18,190716
31,17,332563
31,16,539352
31,15,809394
31,14,1113810
31,13,1362571
31,12,1388349
31,11,1042754
31,10,500370
31,9,159137
32,23,14587
32,22,29370
32,21,58886
32,20,112702
32,19,213832
32,18,378801
32,17,644901
32,16,1003146
32,15,1457001
32,14,1915119
32,13,2202762
32,12,2030967
32,11,1312481
32,10,535497
32,9,159137
33,24,15395
33,23,31494
33,22,63132
33,21,123504
33,20,235747
33,19,433035
33,18,753455
33,17,1232751
33,16,1871038
33,15,2626659
33,14,3319434
33,13,3570650
33,12,2933353
33,11,1598645
33,10,554445
33,9,159137
34,25,16265
34,24,33199
34,23,67655
34,22,132493
34,21,258905
34,20,479697
34,19,867568
34,18,1455199
34,17,2311329
34,16,3390891
34,15,4580341
34,14,5477009
34,13,5387332
34,12,3871817
34,11,1783151
34,10,555468
34,9,159137
35,26,17073
35,25,35323
35,24,71901
35,23,143295
35,22,280822
35,21,534355
35,20,978874
35,19,1713264
35,18,2805336
35,17,4319575
35,16,6173318
35,15,8040691
35,14,9052952
35,13,8074634
35,12,4947978
35,11,1916024
35,10,555469
35,9,159137
36,27,17943
36,26,37028
36,25,76424
36,24,152284
36,23,303982
36,22,581063
36,21,1095737
36,20,1948698
36,19,3324541
36,18,5281405
36,17,7892629
36,16,10900076
36,15,13487427
36,14,14076760
36,13,11088900
36,12,5797537
36,11,1958298
36,10,555469
36,9,159137
37,27,39152
37,26,80670
37,25,163086
37,24,325899
37,23,635767
37,22,1207553
37,21,2219713
37,20,3866456
37,19,6404525
37,18,9938076
37,17,14483567
37,16,19330045
37,15,22742215
37,14,21703962
37,13,14900810
37,12,6495557
37,11,1961369
37,10,555469
37,9,159137
38,27,85193
38,26,172075
38,25,349059
38,24,682477
38,23,1324926
38,22,2458789
38,21,4433267
38,20,7512109
38,19,12103327
38,18,18313082
38,17,25810004
38,16,33004715
38,15,36166618
38,14,31051366
38,13,18240006
38,12,6852832
38,11,1961369
38,10,555469
38,9,159137
39,27,182877
39,26,370976
39,25,737183
39,24,1436792
39,23,2733444
39,22,4994096
39,21,8779423
39,20,14532802
39,19,22886195
39,18,33811401
39,17,46318997
39,16,56431443
39,15,57413054
39,14,43415133
39,13,21545392
39,12,6987797
39,11,1961369
39,10,555469
39,9,159137
40,27,394136
40,26,783893
40,25,1554215
40,24,2973124
40,23,5579781
40,22,9963639
40,21,17076571
40,20,27635220
40,19,42386326
40,18,60954311
40,17,80046981
40,16,91925448
40,15,84766101
40,14,55825149
40,13,23520848
40,12,6991892
40,11,1961369
40,10,555469
40,9,159137
